epoch,acc,loss,val_acc,val_loss
0,0.5061296014777416,0.7018713722504584,0.6048951048951049,0.6763251698934115
1,0.5858143613968965,0.6836419733936022,0.7762237691379094,0.6693486137823625
2,0.6190893161526495,0.6770473769792533,0.8076923076923077,0.6620233088106542
3,0.6523642735180629,0.6703661504852375,0.8146853167693932,0.6548824056045158
4,0.6812609456048956,0.6604743070652522,0.821678321261506,0.6422560894405925
5,0.7197898413379221,0.6507898825897644,0.8286713357571955,0.6340686953984774
6,0.7373029772329247,0.6423281305934418,0.8321678317510165,0.6241569981708394
7,0.7513134836524256,0.6352693743338309,0.8286713315890386,0.6162021531091704
8,0.75394045930819,0.6246608830792683,0.849650349233534,0.6036437662331374
9,0.7898423828302039,0.6097027683425075,0.8426573405732641,0.5925024518599877
10,0.7907180410341708,0.596718646703376,0.8356643360811513,0.5835912456879249
11,0.7880910670485889,0.5925935496382037,0.8321678359191734,0.567202463433459
12,0.802101578269865,0.5737143283132496,0.8146853184366559,0.5532425850421399
13,0.8134851163406506,0.5654850127191761,0.8426573447414212,0.540784503196503
14,0.8257443136592671,0.5536786884643567,0.846153849071556,0.528067848482332
15,0.8239929978776521,0.5392322357606971,0.8391608445794432,0.512363036195715
16,0.8318739112747112,0.5269158417831995,0.8531468452273548,0.5068644297706497
17,0.8257443073960821,0.5176877069389757,0.8601398622239387,0.4875419869289532
18,0.832749557996172,0.5065809113549268,0.8566433578938037,0.485909449053811
19,0.8441331012862785,0.4908025710469996,0.8566433578938037,0.4588697859040507
20,0.8485113860429273,0.47174177132220696,0.8706293752143434,0.4473279337366144
21,0.8362521889330835,0.4640744424534345,0.8776223755382991,0.43109515892875777
22,0.8458844110134813,0.45183188151144105,0.884615380030412,0.42393414353157255
23,0.8625218899571541,0.4273421085601095,0.884615380030412,0.4074878290399805
24,0.8695271434800638,0.4213208695009168,0.8916083886906817,0.39681239415715625
25,0.8555166397746098,0.4164445615795991,0.8986013931827945,0.384872543436664
26,0.8791593657692343,0.39917678507322185,0.9125874105033341,0.3720396200676898
27,0.8721541145428259,0.38461090559090916,0.8916083911915759,0.35412567916449966
28,0.8765323972117463,0.37921932699801414,0.9335664223124097,0.3466240496902199
29,0.8765323980468376,0.36987951906779604,0.9300699279858515,0.34022132270819655
30,0.8922942179514523,0.3528325488552738,0.9370629308107016,0.3269786149054974
31,0.8879159334035763,0.3416501751818715,0.9335664264805668,0.31155035900069283
32,0.8966724974887801,0.3409963328450031,0.9440559436391284,0.30764376804545207
33,0.9001751284256917,0.3244762458233407,0.9440559436391284,0.29749800212733396
34,0.8922942148198597,0.32303982351999566,0.9440559436391284,0.2903361468465178
35,0.9141856333837827,0.2959634901763261,0.9545454482932191,0.2768632769584656
36,0.9080560388999311,0.29656793732985515,0.9475524438011063,0.2629885850669621
37,0.9089316952249423,0.2988832523025272,0.9545454482932191,0.25683261777137545
38,0.9185639202281598,0.27383288208741025,0.9615384569534888,0.24681079867002848
39,0.9063047197779507,0.28003827233239353,0.9615384569534888,0.23890339953082423
40,0.9150612915877494,0.2698504702953031,0.9510489439630841,0.24492637531740682
41,0.9352013918647832,0.2607167938335973,0.9615384569534888,0.22378819764077246
42,0.9176882580575091,0.25656575016716526,0.9650349612836238,0.21936292998440615
43,0.9264448286146708,0.24710564380560573,0.9615384569534888,0.20964852267211967
44,0.928196140429602,0.24658474690181362,0.9685314656137587,0.2036251007885366
45,0.9255691674878843,0.2386565239750984,0.9650349612836238,0.20174097389607995
46,0.9316987684436938,0.23091493638300853,0.9510489477144255,0.1939226669239831
47,0.9281961393857378,0.23512168518298562,0.9685314656137587,0.18741608655952907
48,0.9352013939525117,0.21916851671428897,0.9685314656137587,0.18168625694054824
49,0.9343257359573177,0.21529599790658718,0.9650349612836238,0.17864183706420284
50,0.9316987671910568,0.21344299692719287,0.9685314656137587,0.17115841576686272
51,0.9360770509038414,0.2064097267485855,0.9685314656137587,0.1662856587371626
52,0.9387040228016948,0.20588043619162563,0.9685314656137587,0.16377284560170208
53,0.940455334616626,0.19546451817565122,0.9685314656137587,0.16065274158140996
54,0.9483362440470012,0.1886244650062454,0.9685314656137587,0.1559951879553028
55,0.9448336162416823,0.18474198905212866,0.9685314656137587,0.1544822605548205
56,0.9448336172855464,0.18790743304269744,0.9720279699438935,0.14722673188556323
57,0.9422066485192855,0.18397583130048994,0.9685314656137587,0.14482829964661098
58,0.948336243003137,0.18111597434756216,0.9720279699438935,0.14118969951059435
59,0.9448336193732748,0.17605045626360774,0.9685314656137587,0.13914949806420118
60,0.9483362461347296,0.1725946500662538,0.9720279699438935,0.1373918030437056
61,0.955341498613775,0.16505436433541168,0.9720279657757366,0.13340734341344634
62,0.9483362461347296,0.16440265047675465,0.9720279699438935,0.13127785144777565
